society;municipality;square_name;ykj_n;ykj_e;level1;level2;level3;level4;level5
Ålands Fågelskyddsförening rf;Kökar;Bogskär;661;312;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Parainen;Alu;663;318;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Parainen;Kalkskär;663;319;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Parainen;Flutun;663;320;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Parainen;Ståtbådarna;663;321;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Fästorna;663;322;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Holmbådarna;663;323;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Kuggskär;663;324;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kemiönsaari;Morgonlandet;663;325;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Hanko;Granskär;663;326;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Hanko;Russarö;663;327;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Hanko;Stora Stenskär;663;328;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Segelskär;663;329;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Gadden;663;330;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Lerharun;663;331;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Kökar;Lågnorna;664;314;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Kökar;Kökars ören;664;316;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Kökar;Mörskär;664;317;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Utö;664;318;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Parainen;Jurmo;664;319;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Parainen;Stora Örskär;664;320;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Gråskären;664;321;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Härön;664;322;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Örö;664;323;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Rosala;664;324;1;85.9;172.8;210.8;249.8
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Yttersta Hamnskär;664;325;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Hanko;Gunnarsörarna;664;326;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Hanko;Hangon keskusta;664;327;1;93.2;187.4;228.3;270.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Hanko;Tvärminne;664;328;1;108.5;217.9;264.7;312.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Älgö;664;329;1;93.2;187.4;228.3;270.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Baggön;664;330;1;93.2;187.4;228.3;270.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Nothamn;664;331;1;73.4;147.9;181;215.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Åndholm;664;332;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Timmerö;664;333;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Sommarn;664;334;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Mäkiluoto;664;335;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Lemland;Flötjan;665;309;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Lemland;Lågskär;665;310;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Lemland;Vitkubben;665;311;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Föglö;Västergrundet;665;312;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Föglö;Fjärbodarna;665;313;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Föglö;Flatörarna;665;314;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Kökar;Källskär;665;315;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Kökar;Håvarskär;665;316;1;73.4;147.9;181;215.1
Ålands Fågelskyddsförening rf;Kökar;Kannskär;665;317;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Värpeln;665;318;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Parainen;Vidskär;665;319;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Björkö;665;320;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Parainen;Lökholm;665;321;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Ljungskären;665;322;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Tunnhamn;665;323;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Kasnäs;665;324;1;98.4;197.8;240.6;284.4
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Bergön;665;325;1;93.2;187.4;228.3;270.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Padvaön;665;326;1;73.4;147.9;181;215.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Vättlax;665;327;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Öby;665;328;1;108.5;217.9;264.7;312.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Leksvall;665;329;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Tammisaari;665;330;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Snappertuna;665;331;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Barösund;665;332;1;105.7;212.4;258.1;304.7
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Stora Fagerö;665;333;1;85.9;172.8;210.8;249.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Vormö;665;334;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Porkkala;665;335;1;93.2;187.4;228.3;270.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Stora Mickelskären;665;336;1;73.4;147.9;181;215.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Berggrund;665;337;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Espoo;Länsiluoto;665;338;1;19.5;40;52.2;65.3
Porvoon Seudun Lintuyhdistys ry;Porvoo;Sandkallan;665;343;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Lemland;Oxbrotten;666;310;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Lemland;Långören;666;311;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Föglö;Björkör;666;312;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Föglö;Skottskär;666;313;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Föglö;Klovskär;666;314;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Kökar;Kökar;666;315;1;73.4;147.9;181;215.1
Ålands Fågelskyddsförening rf;Kökar;Hellsö;666;316;1;93.2;187.4;228.3;270.1
Turun Lintutieteellinen Yhdistys ry;Parainen;Pattonskär;666;317;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Österskär;666;318;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Aspö;666;319;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Nötö;666;320;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Parainen;Ådön;666;321;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Stora Kalskär;666;322;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Helsingholmen;666;323;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Söderlångvik;666;324;1;102.4;205.8;250.2;295.6
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Galtarbyviken;666;325;1;105.7;212.4;258.1;304.7
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Synderstön;666;326;1;102.4;205.8;250.2;295.6
Turun Lintutieteellinen Yhdistys ry;Salo;Pettu;666;327;1;98.4;197.8;240.6;284.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Sillböle;666;328;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Tenhola;666;329;1;115.2;208.4;262.4;298.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Pohjanpitäjänlahti;666;330;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Karjaa;666;331;1;115.2;208.4;262.4;298.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Västankvarn;666;332;1;115.2;208.4;262.4;298.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Inkoon keskusta;666;333;1;115.2;208.4;262.4;298.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Inkoo;Kopparnäs;666;334;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Kantvik;666;335;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Långvik;666;336;1;108.5;217.9;264.7;312.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Espoo;Suvisaaristo;666;337;1;73.4;147.9;181;215.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Helsinki;Katajaluoto;666;338;1;19.5;40;52.2;65.3
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Helsinki;Isosaari;666;339;1;51.8;104.6;129.2;154.9
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Helsinki;Eestiluoto;666;340;1;19.5;40;52.2;65.3
Porvoon Seudun Lintuyhdistys ry;Porvoo;Söderskär;666;341;1;19.5;40;52.2;65.3
Porvoon Seudun Lintuyhdistys ry;Porvoo;Stora Kölhällen;666;342;1;19.5;40;52.2;65.3
Porvoon Seudun Lintuyhdistys ry;Porvoo;Yttergrundet;666;343;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Lemland;Nyhamn;667;310;1;73.4;147.9;181;215.1
Ålands Fågelskyddsförening rf;Lemland;Västeränga;667;311;1;93.2;187.4;228.3;270.1
Ålands Fågelskyddsförening rf;Lemland;Föglöfjärden;667;312;1;93.2;187.4;228.3;270.1
Ålands Fågelskyddsförening rf;Föglö;Föglö;667;313;1;105.7;212.4;258.1;304.7
Ålands Fågelskyddsförening rf;Föglö;Hasterboda;667;314;1;93.2;187.4;228.3;270.1
Ålands Fågelskyddsförening rf;Sottunga;Husö;667;315;1;73.4;147.9;181;215.1
Ålands Fågelskyddsförening rf;Kökar;Örlandet;667;316;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Gråskär;667;317;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Parainen;Kälö;667;318;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Gyltö;667;319;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Parainen;Lom;667;320;1;85.9;172.8;210.8;249.8
Turun Lintutieteellinen Yhdistys ry;Parainen;Haraskär;667;321;1;85.9;172.8;210.8;249.8
Turun Lintutieteellinen Yhdistys ry;Parainen;Gullkrona;667;322;1;85.9;172.8;210.8;249.8
Turun Lintutieteellinen Yhdistys ry;Parainen;Trollö;667;323;1;73.4;147.9;181;215.1
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Dragsfjärdin kk;667;324;1;102.4;205.8;250.2;295.6
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Björkboda;667;325;1;114.4;206.8;260.8;296.8
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Pederså;667;326;1;114.4;206.8;260.8;296.8
Turun Lintutieteellinen Yhdistys ry;Salo;Särkisalo;667;327;1;108.5;217.9;264.7;312.4
Turun Lintutieteellinen Yhdistys ry;Salo;Kestrikki;667;328;1;114.4;206.8;260.8;296.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Ovanmalm;667;329;1;114.4;206.8;260.8;296.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Fiskars;667;330;1;114.4;206.8;260.8;296.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Antskog;667;331;1;114.4;206.8;260.8;296.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Raasepori;Mustio;667;332;1;114.4;206.8;260.8;296.8
Lohjan lintutieteellinen yhdistys Hakki ry;Lohja;Etelä-Lohja;667;333;1;114.4;206.8;260.8;296.8
Lohjan lintutieteellinen yhdistys Hakki ry;Siuntio;Siuntion keskusta;667;334;1;114.4;206.8;260.8;296.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Kirkkonummen keskusta;667;335;1;114.4;206.8;260.8;296.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Masala;667;336;1;114.4;206.8;260.8;296.8
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Espoo;Espoon keskusta;667;337;1;110.9;222.8;270.4;319.1
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Helsinki;Helsingin keskusta;667;338;1;102.4;205.8;250.2;295.6
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Helsinki;Santahamina;667;339;1;98.4;197.8;240.6;284.4
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Sipoo;Musta Hevonen;667;340;1;51.8;104.6;129.2;154.9
Porvoon Seudun Lintuyhdistys ry;Porvoo;Bodö;667;341;1;73.4;147.9;181;215.1
Porvoon Seudun Lintuyhdistys ry;Porvoo;Varlaxudden;667;342;1;73.4;147.9;181;215.1
Porvoon Seudun Lintuyhdistys ry;Porvoo;Storpellinge;667;343;1;73.4;147.9;181;215.1
Porvoon Seudun Lintuyhdistys ry;Porvoo;Hasselö;667;344;1;51.8;104.6;129.2;154.9
Porvoon Seudun Lintuyhdistys ry;Pernaja;Tiiskeri;667;345;1;19.5;40;52.2;65.3
Porvoon Seudun Lintuyhdistys ry;Pernaja;Hamnskär;667;346;1;19.5;40;52.2;65.3
Ålands Fågelskyddsförening rf;Jomala;Hammarudda;668;309;1;73.4;147.9;181;215.1
Ålands Fågelskyddsförening rf;Mariehamn;Mariehamn;668;310;1;102.4;205.8;250.2;295.6
Ålands Fågelskyddsförening rf;Lemland;Lemland;668;311;1;105.7;212.4;258.1;304.7
Ålands Fågelskyddsförening rf;Lumparland;Lumparland;668;312;1;102.4;205.8;250.2;295.6
Ålands Fågelskyddsförening rf;Föglö;Skarpskär;668;313;1;73.4;147.9;181;215.1
Ålands Fågelskyddsförening rf;Sottunga;Sottunga;668;314;1;93.2;187.4;228.3;270.1
Ålands Fågelskyddsförening rf;Kumlinge;Sundskär;668;315;1;51.8;104.6;129.2;154.9
Ålands Fågelskyddsförening rf;Brändö;Blåskär;668;316;1;19.5;40;52.2;65.3
Turun Lintutieteellinen Yhdistys ry;Parainen;Jungfruskär;668;317;1;51.8;104.6;129.2;154.9
Turun Lintutieteellinen Yhdistys ry;Parainen;Storlandet;668;318;1;85.9;172.8;210.8;249.8
Turun Lintutieteellinen Yhdistys ry;Parainen;Korppoo;668;319;1;98.4;197.8;240.6;284.4
Turun Lintutieteellinen Yhdistys ry;Parainen;pärnäs;668;320;1;105.7;212.4;258.1;304.7
Turun Lintutieteellinen Yhdistys ry;Parainen;Nauvo;668;321;1;108.5;217.9;264.7;312.4
Turun Lintutieteellinen Yhdistys ry;Parainen;Lillandet;668;322;1;105.7;212.4;258.1;304.7
Turun Lintutieteellinen Yhdistys ry;Parainen;Heisala;668;323;1;102.4;205.8;250.2;295.6
Turun Lintutieteellinen Yhdistys ry;Parainen;Attu;668;324;1;102.4;205.8;250.2;295.6
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Västankärr;668;325;1;110.9;222.8;270.4;319.1
Turun Lintutieteellinen Yhdistys ry;Kemiönsaari;Träskböle;668;326;1;113.6;205.2;259.2;295.2
Turun Lintutieteellinen Yhdistys ry;Salo;Matildedal;668;327;1;113.6;205.2;259.2;295.2
Turun Lintutieteellinen Yhdistys ry;Salo;Perniö;668;328;1;113.6;205.2;259.2;295.2
Turun Lintutieteellinen Yhdistys ry;Salo;Ylikulma;668;329;1;113.6;205.2;259.2;295.2
Turun Lintutieteellinen Yhdistys ry;Salo;Kiskon kk;668;330;1;113.6;205.2;259.2;295.2
Lohjan lintutieteellinen yhdistys Hakki ry;Lohja;Karjalohjan keskusta;668;331;1;113.6;205.2;259.2;295.2
Lohjan lintutieteellinen yhdistys Hakki ry;Lohja;Lohjansaari;668;332;1;113.6;205.2;259.2;295.2
Lohjan lintutieteellinen yhdistys Hakki ry;Lohja;Lohjan keskusta;668;333;1;113.6;205.2;259.2;295.2
Lohjan lintutieteellinen yhdistys Hakki ry;Lohja;Muijala;668;334;1;113.6;205.2;259.2;295.2
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Kirkkonummi;Veikkola;668;335;1;113.6;205.2;259.2;295.2
Helsingin Seudun Lintutieteellinen Yhdistys Tringa ry;Espoo;Ämmässuo;668;336;1;113.6;205.2;259.2;295.2
